human_uniprot	yeast_uniprot
P56192	P00958
Q01813	P16862
P33993	P38132
O95347	P38989
Q9H0D6	Q02792
O00429	P54861
P62191	P40327
P62195	Q01939
Q9NTJ3	Q12267
P62495	P12385
Q5JRX3	P32898
P41250	P38088
P30566	Q05911
P40227	P39079
Q9NR19	P52910
Q8N442	P46943
O15381	Q07844
Q9NSE4	P48526
P17980	P33297
Q92698	P32863
P55060	P33307
Q96PU5	P39940
P25205	P24279
O95427	P36051
P49589	P53852
O75027	P40416
O75390	P00890
Q16134	Q08822
O60832	P33322
P35606	P41811
Q8IY37	Q04217
Q92769	P32561
Q9NTJ4	P22855
Q14697	P38138
P26196	P39517
P10809	P19882
P17844	P24783
Q9UG63	P40024
Q9Y697	P25374
Q8NB90	P32794
Q96RL7	Q07878
O15118	Q12200
P36873	P32598
Q7Z6Z7	Q03280
P13929	P00924
Q00266	P10659
Q13838	Q07478
O15523	P24784
Q9BZE4	Q02892
Q9NUQ8	P43535
O43776	P38707
O75691	P35194
P18858	P04819
P36871	P37012
Q9Y2Z2	P53070
P43686	P33298
P09622	P09624
Q9Y5B9	P32558
P39023	P14126
P14868	P04802
P62333	P53549
P34896	P37291
P61619	P32915
Q14137	Q04660
P48449	P38604
P11387	P04786
Q9UKF6	Q06224
P20020	P38929
O75874	P21954
O75874	P41939
P48735	P21954
P48735	P41939
Q8NEB9	P22543
P61160	P32381
Q15031	P11325
P00558	P00560
Q14738	P38903
P15170	P05453
Q08209	P14747
Q08209	P23287
P48454	P14747
P48454	P23287
P55786	P37898
Q9NPH2	P11986
P52701	Q03834
P35670	P38995
Q8N142	P80210
P60842	P10081
P62714	P23595
P47897	P13188
A5YKK6	P25655
P49411	P02992
Q13310	P04147
Q8IY17	Q04958
Q9NSD9	P15624
P42356	P37297
Q16851	P32861
O75351	P52917
P38919	Q12099
P31150	P39958
P50395	P39958
Q9UBF2	P32074
P04035	P12683
Q13823	P53742
Q92562	P42837
P04424	P04076
P30837	P46367
P40692	P38920
Q13206	P20448
Q9Y295	P39729
Q8N465	P46681
P61158	P47117
Q9P1U1	P47117
P11766	P32771
P14618	P00549
P14618	P52489
P30613	P00549
P30613	P52489
Q96KP4	P43616
P50990	P47079
Q9NRZ9	P43610
P48506	P32477
Q14974	Q06142
Q92598	P32589
Q14683	P32908
P43304	P32191
Q9ULI0	P40340
O15270	P40970
Q8TDD1	Q12389
Q93009	P50101
O00410	P32337
Q9BSC4	P48234
Q9Y2H1	P53894
Q06609	P25454
P04040	P15202
P31350	P09938
P08183	P12866
Q9NV66	Q08960
Q96TA2	P32795
Q9UKY4	P31382
P42898	P53128
Q96ST3	P22579
Q9Y285	P15625
P12081	P07263
O95163	Q06706
P51649	P38067
O00567	Q12460
P23381	Q12109
P54278	P14242
Q96D46	P38861
Q8IY81	P25582
Q92878	P12753
Q9NRK6	P33310
P63010	P36000
A2PYH4	P51979
Q8NI36	Q06078
Q66LE6	Q00362
Q9H0S4	P38712
P20585	P25336
P04406	P00359
P61011	P20424
Q13472	P13099
P51530	P38859
P11413	P11412
Q9Y2I7	P34756
Q92544	P32802
P49674	P29295
P48730	P29295
P52888	P25375
P30038	P07275
Q9NY93	Q06218
P00390	P41921
P55039	P53295
Q08J23	P38205
Q13153	Q03497
P09960	Q10740
Q14690	Q05022
Q9NUU7	P20449
P13797	P32599
Q9Y2X3	Q12499
P19784	P15790
P68400	P15790
Q01581	P54839
Q9Y276	P32839
P39748	P26793
Q9NY33	Q08225
Q9NQW7	Q07825
Q9BXS5	Q00776
Q6PFW1	Q06685
Q8TD30	P52892
P35251	P38630
Q96QK1	P34110
Q9NPF4	P36132
O95486	P40482
O95487	P40482
P00966	P22768
P15104	P32288
Q7Z478	Q06698
Q13616	Q12018
Q5VYK3	P38737
P36578	P49626
P36578	P10664
Q13535	P38111
Q5T160	Q05506
P11177	P32473
P24723	P24583
O95352	P38862
O60825	P32604
O00743	P20604
P00156	P00163
O14787	P38217
P50579	P38174
P49591	P07284
Q969S9	P39677
O15056	Q12271
O15056	P50942
O43426	Q12271
O43426	P50942
P54577	P36421
P49366	P38791
Q9NTK5	P38219
P54646	P06782
P62701	P0CX36
P62701	P0CX35
P04181	P07991
Q92889	P06777
O00487	P43588
A8MPP1	P22516
Q9BXP2	P38329
Q9P2R7	P53312
P52732	P28742
Q9ULA0	P38821
P51003	P29468
O95394	P38628
Q9BZG8	P40487
P62917	P0CX45
P62917	P0CX46
Q96G03	Q03262
O43766	P32875
P11908	P38063
Q9Y5P6	P41940
P49959	P32829
Q16549	P13134
Q9Y4C8	Q06106
Q00526	P00546
O95470	Q05567
P51659	Q02207
P35250	P40339
Q96G46	Q06053
Q7L014	P21372
P21912	P21801
Q96GQ7	P32892
P53582	Q01662
Q99570	P22219
Q9Y2R4	P45818
Q96C11	Q04585
Q7KZ85	P23615
P80404	P17649
O75439	P10507
P37287	P32363
P22557	P09950
P51795	P37020
O75312	P53303
P35520	P32582
P37837	P15019
Q9NV06	P33750
P04818	P06785
P08559	P16387
Q8IY18	Q08204
Q16539	P32485
Q9UBJ2	P41909
P46199	P25038
O14617	Q08951
Q8NI60	P27697
P32929	P31373
O00232	Q12250
P56537	Q12522
O00541	P53261
P62826	P32835
Q9UJ83	P39994
Q13608	P33760
Q9H089	P53145
P49841	P38615
Q9P2K8	P15442
P38935	P34243
Q9NRW7	P38932
O15213	P40055
Q14410	P32190
P09110	P27796
P53384	P52920
P06132	P32347
P62258	P34730
Q8WVM8	P22213
Q9UNQ2	P41819
P19623	Q12074
Q9Y4E8	P39538
Q76MJ5	P32361
Q6IA86	P42935
Q9Y6V7	P38719
Q08AM6	Q06708
P48163	P36013
P55884	P06103
Q14565	P25453
P17174	P23542
Q92993	Q08649
P22830	P16622
P22694	P06245
P17612	P06245
P24752	P41338
Q96PZ0	Q08647
P22087	P15646
Q13601	P25586
P53597	P53598
P10515	P12695
Q16719	Q05979
Q9NTJ5	P32368
P78368	P23292
P28482	P16892
Q9BUQ8	P23394
Q92611	P38888
P13716	P05373
Q99797	P35999
Q03701	Q12176
Q96SB4	Q03656
Q14669	P33202
P50213	P28241
Q9UM11	P53197
Q9NRH3	P53378
P36551	P11353
Q15021	Q06156
Q92643	P49018
Q9BVK2	P40351
Q96S55	P40151
Q12986	P53971
Q68CQ4	P40498
Q8NHQ9	P25808
O43747	Q12028
O15457	P40965
P27694	P22336
Q9H583	P42945
O60551	P14743
P30419	P14743
P51553	P28834
P31948	P15705
Q8TAT6	P33755
P40937	P38629
Q9HCN4	P47122
O00231	Q12377
P53602	P32377
P27487	P18962
Q16222	P43123
Q9NVU7	P53313
P07902	P08431
Q99873	P38074
O95478	P40078
Q9NXH9	P15565
P22059	Q12451
Q504Q3	P53010
P21695	Q00055
P16435	P16603
P23443	P18961
P23443	P12688
Q9HBY8	P18961
Q9HBY8	P12688
P11926	P08432
Q14527	P32849
Q92539	P32567
P35249	P40348
O60884	P25491
P54687	P47176
Q3LXA3	P43550
Q92600	P53829
P36957	P19262
P60953	P19073
P53350	P32562
Q16181	P32457
Q9H2P9	P32469
O95155	P54860
O60488	P47912
Q13867	Q01532
Q9ULV4	Q06440
Q6N069	P12945
Q16850	P10614
Q2NL82	Q07381
P33121	P39518
Q96SB8	Q12749
P05198	P20459
P40926	P17505
Q15393	Q04693
Q7Z7A3	P53088
Q9UI26	Q02932
Q5JTH9	Q12754
Q15181	P00817
P53041	P53043
Q96GW9	P22438
P61313	P05748
P61313	P54780
P61421	P32366
Q9UNQ0	P25371
Q9UBT2	P52488
O15160	P07703
Q9Y672	Q12001
P05388	P05317
P14324	P08524
Q7L523	Q00582
Q13042	P09798
P08574	P07143
O95363	P08425
P37268	P29704
Q05932	Q08645
Q9Y2T3	Q07729
Q6PI48	P15179
Q13347	P40217
P54886	P54885
B5ME19	P32497
Q99613	P32497
P28715	P07276
P23396	P05750
P12236	P18238
Q9HB90	P53290
Q9UKM7	P32906
Q9H8H2	P36120
P51665	Q08723
Q9H3H5	P07286
Q9GZR7	P38112
P35232	P40961
Q13724	P53008
P62820	P01123
P46777	P26321
P49915	P38625
Q14739	P32462
P84077	P19146
P20226	P13393
Q6P1K8	Q04673
Q8IXI2	P39722
P09467	P09201
Q9Y3T9	P39744
Q9NWZ5	P27515
Q8TEQ8	Q07830
Q8IYB8	P32580
O43681	Q12154
Q9NU19	Q08484
P62753	P0CX38
P62753	P0CX37
Q08752	P53691
Q14534	P32476
Q86WU2	P32891
P07339	P07267
Q92903	P38221
P08243	P49090
Q99623	P50085
Q9UBP6	Q12009
Q9Y5Y2	P40558
P27635	P41805
P62424	P29453
Q9UBF8	P39104
O75191	P42826
Q6P1R4	P53759
O14975	P38225
Q9NWU1	P39525
P45974	P38237
Q86YJ6	P16120
P49643	P20457
O76031	P38323
Q96I59	P25345
P40938	P38251
P63096	P10823
P63096	P08539
P08754	P10823
P08754	P08539
Q15067	P13711
Q9BVS4	P40160
Q08945	Q04636
Q5JPH6	P48525
Q13895	P38333
Q00796	Q07993
P34949	P29952
P49917	Q08387
O15305	P07283
Q9UH03	P25342
O95396	P38820
P50613	P06242
O60508	P40968
P13804	Q12480
Q9H3S5	P47088
Q92759	Q02939
O00400	P38318
Q9UQB9	P38991
P08865	P46654
O14818	P40303
Q10713	P11914
P28074	P30656
Q8NBU5	P28737
Q9NQH7	P40051
O95373	P46970
P43155	P32796
P61247	P33442
Q00325	P40035
Q9H611	P07271
P61586	P06780
Q99436	P25043
Q01780	Q12149
Q9H553	P43636
O60524	Q12532
Q9HB07	P40093
Q9Y216	P47147
Q9UET6	P38238
Q96G21	P53941
P28066	P32379
Q2TAA5	P53954
O15229	P38169
Q14152	P38249
Q7KZN9	P40086
P46782	P26783
O75845	P32353
P46781	P05755
Q9Y617	P33330
P15880	P25443
O94973	P38065
Q9H720	P25618
P63244	P38011
Q5U5R9	P40985
Q9H6U8	P53868
P60174	P00942
O94979	P38968
Q92538	P39993
Q9UNX4	Q12220
Q9BV20	Q06489
Q15008	Q06103
Q9NQR4	P49954
Q9BRS2	Q12196
P23786	P80235
Q8IZ73	Q12069
Q15907	P38555
P35557	P04806
Q8TDN6	Q08235
Q13112	Q04199
Q9UHB4	Q12181
P19174	P32383
Q9Y6E0	P08458
O00506	P08458
P30838	Q04458
O75317	P38187
O75317	P39967
P62068	P38187
P62068	P39967
Q8IVB4	Q04121
Q96QE2	P30606
P62906	P0CX44
P62906	P0CX43
Q92994	P29056
P00491	Q05788
O15269	P25045
P32119	P34760
P60900	P21243
O75844	P47154
P54819	P07170
Q969Y2	P32559
P62837	P15732
P62837	P15731
Q9Y2X8	P15732
Q9Y2X8	P15731
P49759	P32350
P15259	P00950
Q9BZJ0	Q12309
Q7Z4G4	Q12463
P25789	P23638
P00414	P00420
O43242	P40016
P48728	P48015
Q96AT9	P46969
P40123	P17555
Q01415	P04385
Q9BT22	P16661
Q9UNY4	P31244
Q9UJM8	P00175
Q9Y2Z4	P48527
Q8TBC4	Q99344
Q9UHW5	Q06543
Q9UK59	P24309
Q9H9Y4	Q08726
Q9Y4X5	P36113
P49336	P39073
P62913	Q3E757
P62913	P0C0W9
Q9Y282	P39727
Q9BZE2	P31115
P62241	P0CX39
P62241	P0CX40
Q8IZF0	P50077
P25787	P23639
Q7Z695	Q02981
Q9NRW1	Q99260
P20340	Q99260
O43781	P14680
Q96HL8	P32793
O14744	P38274
P25788	P21242
P62979	P05759
Q86WA9	Q12325
P78406	P40066
P30793	P51601
Q9UGM6	P04803
P49642	P10363
Q9BRX2	P33309
O43196	Q12175
Q9H4L5	P38713
Q86TW2	Q06567
Q9UG56	P39006
P48637	Q08220
O00203	P46682
P51149	P32939
P54578	P43593
P62277	P05756
Q9Y324	Q05498
Q9H9Y2	P38805
Q8WU90	Q12000
P08240	P32916
P00480	P05150
Q13144	P32501
Q9NXC5	P38164
P30050	P0CX53
P30050	P0CX54
Q8WV93	P32317
P11172	P03962
P84243	P61830
P18124	Q12213
P18124	P05737
Q9ULM6	P31384
Q92747	P38328
P25786	P40302
Q9NQZ7	P40009
P40616	P38116
Q9HCG8	P53333
Q96H96	P32378
Q10570	Q06632
Q7Z3V4	P53119
P62987	P0CH09
P62987	P0CH08
Q6PJI9	Q03897
P49754	P38959
P50750	Q03957
Q9Y2P8	Q08096
P30405	P14832
Q9NRX1	Q99216
Q15274	P43619
Q9BQ67	Q04225
Q6R327	P40061
Q8IU85	P27466
O15355	P34221
Q9BVC4	P41318
P55263	P47143
Q6YP21	P47039
Q09028	P39984
Q32P41	P38793
O43709	P25627
Q06203	P04046
Q9GZT4	P36007
Q9UNH5	Q00684
Q9Y5K8	P32610
P08397	P28789
P22570	P48360
P47756	P13517
Q9H6R4	P53254
Q9BRT8	P53729
P30153	P31383
P12270	Q02455
P55010	P38431
Q9HCS7	Q04048
Q32NB8	P25578
P63146	P06104
P49459	P06104
P62266	P0CX30
P62266	P0CX29
P28072	P38624
Q9Y6M5	P20107
Q70HW3	P38921
P49720	P25451
P12955	P43590
O75175	P06102
Q9NWX6	P53215
P48444	P43621
Q8WUM9	P38361
O95544	P32622
Q9H0R6	Q03557
Q9Y2Z9	P53318
Q9H501	Q06344
P21283	P31412
O94915	P40468
O75083	P46680
Q5F1R6	P53863
P19440	Q05902
Q7Z3C6	Q12142
P40429	P26784
P13051	P12887
Q92930	P07560
P62070	P01119
Q9NTG7	P53686
P62263	P06367
P62263	P39516
P61088	P52490
Q92979	Q06287
P19387	P16370
Q8TD22	Q12029
Q9H9B4	Q12029
Q92685	P38179
Q969N2	P38875
Q7Z569	P38748
P11166	P38142
Q9NYZ2	P23500
P14550	P14065
Q9BVI4	Q06512
Q8N1F7	P34077
P15121	P38715
Q96CQ1	P38127
P62829	P0CX42
P62829	P0CX41
P47985	P08067
Q5TAP6	Q04500
P38117	P42940
O14775	P18851
O95620	Q06063
O00267	P27692
Q9BV10	P53730
Q9H3H1	P07884
Q13618	P53202
Q9Y6B6	P20606
Q9UGC7	P30775
Q8TCG2	P42951
P59998	P33204
Q9NP81	P38705
Q92922	P32591
O95749	Q12051
Q12788	Q05946
Q9Y221	Q08962
Q9UI10	P12754
Q5HYK3	P49017
Q13530	Q12116
P05089	P00812
Q13907	P15496
P84098	P0CX83
P84098	P0CX82
Q8TEX9	P40069
Q9BXY0	P10962
Q12996	P25298
O00505	Q02821
P62269	P0CX55
P62269	P0CX56
O75694	P38181
Q5H8A4	P40367
P53611	P20133
O75153	Q03690
Q02750	P06784
Q9UPT9	P50102
P23284	P35176
Q14232	P14741
Q9Y673	P40350
Q9BXB4	Q02201
Q9BXB4	P38755
Q96SU4	Q02201
Q96SU4	P38755
P63241	P23301
Q4G0F5	P40335
P55036	P38886
Q3SYC2	Q08650
O96017	P22216
P27449	P25515
Q15738	P53199
Q9HAU5	P38798
P61224	P13856
O00566	P47083
O75140	P47170
P51955	P22209
Q9UJK0	Q12094
Q9UDY4	P25294
P24390	P18414
P62244	P0C0W1
P62280	P0CX48
P62280	P0CX47
Q9UPZ9	P32581
Q13163	P32490
P26641	P36008
P60604	Q02159
Q92521	P30777
Q96EE3	P53011
Q13868	P38792
P31323	P07278
Q9NQ55	Q12153
Q9H270	P12868
Q9HAN9	P53204
O95202	Q06493
P49005	P46957
P07237	P17967
Q9NV96	P25656
O95067	P24869
Q96T76	P40469
P49848	P53040
Q9H9F9	P53946
Q96L34	Q01919
P20339	P36017
Q06265	Q05636
Q15257	P40454
Q13286	P47040
O00767	P21147
P49247	Q12189
Q6PD62	P89105
Q9Y6N1	P19516
P53007	P38152
Q15800	P53045
P49356	P22007
P10768	P40363
P63279	P50623
Q8NDF8	P53632
Q92890	P53044
P16260	P38702
O75879	P33893
P67870	P38930
Q07020	P0CX50
Q07020	P0CX49
O95628	P34909
Q12887	P21592
Q9BU89	P47120
Q07837	P0CW40
Q07837	P0CW41
Q9H8S9	P40484
Q6IN85	P40164
Q96FL8	Q05497
Q86YB8	Q03103
P62081	P26786
P00403	P00410
P20618	P23724
Q04609	P47161
Q7L3T8	P39965
Q7Z7B1	P47026
Q9NV31	P32899
P22392	P36010
P46778	Q12672
P46778	Q02753
Q9H7B2	P36160
P12004	P15873
Q53GS9	P43589
P49281	P38925
Q15833	P30619
O75478	Q02336
Q5T2R2	P18900
P30041	P34227
Q8N5Z0	P53090
Q9Y294	P32447
Q9UFF9	P39008
Q99437	P23968
Q13610	P21304
Q58A45	P36102
P18621	P05740
P62256	P28263
Q9UHC1	Q12083
Q86X76	P47016
P10619	P38109
P63098	P25296
Q8IW45	P36059
Q9UGJ0	P12904
Q9H6Q4	P23503
O43617	P36149
P28070	P30657
Q8TBB5	Q08979
Q9UNM6	Q04062
Q9H1K1	Q12056
Q9H4A5	Q06385
P62249	P0CX52
P62249	P0CX51
Q9Y5L0	Q99189
Q9Y316	P47085
P62805	P02309
Q9UI42	P38836
Q58F21	P35817
Q58F21	Q07442
Q15059	P35817
Q15059	Q07442
Q9BQT8	Q99297
Q6ZWT7	Q08548
Q00341	P06105
Q6GTS8	P27614
P36542	P38077
P83876	Q06819
Q02543	P0CX24
Q02543	P0CX23
P30085	P15700
Q9NX74	P53720
Q8N8A6	P53734
Q96GX9	P47095
O15498	P36015
Q9H490	P41733
Q86V24	Q12442
Q3KQZ1	P32332
Q9UBZ9	P12689
Q9H993	Q04371
O15258	P25560
P04179	P00447
Q5MNZ6	P50079
Q96RR4	P43637
Q15645	P38126
Q9UBX3	Q06143
Q6NVY1	P28817
P61962	Q12523
Q8TED0	Q04305
Q9Y3A5	Q07953
Q9H9S4	P32464
O43175	P40054
O43175	P40510
Q6ZQW0	P47125
Q9NVX2	P25382
O94822	Q04781
Q9BV79	P38071
Q6FI13	P04912
Q6FI13	P04911
Q93077	P04912
Q93077	P04911
P16104	P04912
P16104	P04911
Q86SQ9	P35196
Q9BVL4	Q08968
Q96BW1	P18562
Q6P3W7	P53009
Q13795	Q02804
Q9NW13	P37838
O60725	P32584
Q9BPX3	Q06680
P78316	Q99207
Q9UBE0	Q06624
Q9NUI1	P32573
O14757	P38147
Q6IQ20	Q02883
O75794	Q05791
Q16774	P15454
Q9UHQ9	Q12746
Q96GA7	P25379
O15182	P06704
Q2VYF4	Q08179
P55769	P39990
Q9BQ52	P36159
O15527	P53397
O60763	P25386
P49721	P22141
Q6BCY4	P38626
P26373	P40212
P19388	P20434
P62750	P04456
Q9H981	Q12386
Q6P1N9	P34220
Q96FX7	P46959
O75792	P53942
Q08AI6	P39981
Q8WUM4	Q12033
Q8N2K1	P33296
O00764	P39988
Q00403	P29055
P32969	P51401
P32969	P05738
Q9UHA3	Q07915
Q7L5A8	Q03529
Q14249	P08466
Q99447	P33412
P38571	P34163
Q8IWV8	P19812
O75354	P32621
Q6PI26	P40486
Q9GZN1	Q12509
Q9Y606	Q12211
Q8WV83	Q03730
Q9HAB8	P40506
Q9P253	P27801
Q9BY44	P53235
Q8WVB6	P49956
P02730	P53838
Q9BVP2	P40010
P62841	Q01855
Q99733	P25293
P78549	P31378
P24534	P32471
Q9UIJ7	P26364
Q6UXN9	P36104
O43592	P33418
P62166	Q06389
Q9BZJ4	P53320
P00441	P00445
Q9NT62	P40344
Q9Y535	P35718
O75716	Q12003
P17707	P21182
Q9H999	Q04430
P54920	P32602
Q5TC63	Q12317
O76003	P32642
Q9H2D1	P40556
Q8WWY3	P49704
P20042	P09064
Q8N6M5	P25335
P55735	Q04491
P47813	P38912
O14602	P38912
Q96JB2	P40094
Q8N4J0	P53934
Q9H269	Q03308
Q8NCW5	P40165
Q16348	P32901
O75400	P33203
Q969X6	Q06679
Q8WTT2	Q07896
Q6P1X5	P23255
Q9NP77	P53538
Q96CN4	Q04322
Q96CN4	Q12344
O60447	Q04322
O60447	Q12344
P83881	P0CX28
P83881	P0CX27
P61353	P0C2H7
O75648	Q12093
P56282	P24482
Q9UKD2	P33201
P49770	P32502
P04843	P41543
Q6NXT6	P40085
Q15397	Q04373
Q9UBH6	P40528
P41223	P25337
Q9ULC4	P89886
O43683	P41695
Q9BTE6	P53960
Q14694	Q01477
Q99880	P02293
Q92551	Q12494
P56377	P35181
Q5I7T1	P50076
Q9Y4P8	P43601
Q03426	P07277
Q9Y5Q9	P33339
O15145	Q05933
Q9HC07	P38301
Q96EY1	P35191
P29401	P23254
Q96C86	Q12123
P41227	P07347
Q9UBM1	P05375
O15144	P53731
O43772	Q12289
Q16775	Q05584
P50747	P48445
Q969S0	P40004
Q6PGP7	P17883
P0C0S5	Q12692
Q71UI9	Q12692
Q29RF7	Q04264
P82251	P50276
Q86VX9	P53129
O00762	P52492
Q9Y263	P36037
O75880	P23833
Q96P11	P53972
A6NDG6	P19881
Q5TDH0	P40087
Q9Y3A0	O13525
O75146	P33338
Q8NBF6	Q12500
P61086	P21734
Q4G176	P38137
Q9Y5J1	P40362
Q01085	P32588
Q7Z3U7	P48563
P62910	P38061
Q8NI27	P53552
O00311	P06243
Q8N8R3	P38087
Q53GQ0	P38286
P29218	Q05533
A4D1E9	P38860
P43487	P41920
Q53HI1	P36125
O43292	P39012
P62854	P39939
P25325	Q08686
Q9UBQ0	P38759
Q9NUP7	Q12383
Q99807	P41735
Q96H20	Q12483
O75396	P22214
Q8IUH5	P39010
O95260	P16639
P18754	P21827
Q96AA3	P38206
P52298	Q08920
Q15819	P53152
Q13257	P40958
Q7L211	P42840
O15260	P53337
P08708	P02407
P08708	P14127
P23919	P00572
Q13576	Q12280
Q9C0D9	P22140
O95251	P40963
Q6P587	P53889
Q9UJA9	P25353
Q9BV86	P38340
Q16769	P43599
Q9UPN7	P40856
Q9UPN7	P36123
Q5H9R7	P40856
Q5H9R7	P36123
O60830	P39515
Q969M3	P53039
P62877	Q08273
Q14181	P38121
Q15291	P39706
Q5VIR6	P47061
O75419	Q08032
P33316	P33317
Q495N2	P50944
P49427	P14682
Q8N6M0	P38747
P07741	P49435
O43615	Q01852
Q15070	P39952
Q9GZL7	Q12024
O00628	P39108
O60337	P40318
P62487	P34087
O15541	P53769
P61081	P52491
O14735	P06197
P61599	Q06504
Q9NRA0	Q06147
P99999	P00044
Q9NWL6	Q04489
Q9Y5B0	Q03254
P10696	P11491
Q8NBR6	Q08930
P67812	P15367
P23193	P07273
Q9P0J1	Q12511
Q9P2J9	Q12511
Q7Z4H3	P38331
P46776	P02406
Q9Y3B8	P54964
Q9Y3D8	Q12055
O94903	P38197
Q3ZCQ8	Q02776
Q9H0R8	P38182
Q15691	P40013
Q96AX1	P20795
Q9UPQ8	P20048
P63208	P52286
Q9NPD3	P46948
O75821	Q04067
P39019	P07280
Q9NUN7	P38298
Q9UBZ4	P38207
Q969K4	P40560
Q9NVS9	P38075
Q13126	Q07938
Q8TBZ6	Q12400
Q9BV57	Q03677
Q99741	P09119
P62847	P0CX31
P62847	P0CX32
P50542	P35056
O43148	P32783
Q13889	Q12004
Q9UNI6	Q02256
Q9NSV4	P41832
Q14667	Q06116
Q13596	Q92331
Q8WVE0	P53200
Q9Y570	P38796
P51948	Q03290
Q8NFV4	P53219
Q5VVQ6	P43558
Q9UBQ7	P53839
P13693	P35691
O94826	P07213
Q9UNZ2	P34223
P36543	P22203
Q13526	P22696
O75663	Q12199
Q9BQG2	P53164
Q9UKK9	Q01976
Q12874	P19736
Q92504	P40544
Q99943	P33333
P62899	P0C2H9
P62899	P0C2H8
Q15813	P39937
P42696	Q08208
Q9Y3D0	P38829
Q8N6T3	P35197
Q13416	P32833
O60739	P32911
Q9NYV6	P36070
P0DP25	P06787
P0DP23	P06787
P0DP24	P06787
Q92572	P47064
O75608	Q12354
Q86VD9	Q04174
O43660	Q12417
P30260	P38042
Q96DW6	Q07534
Q9UMS0	P32860
Q8WVC6	Q03941
Q9UNX3	P53221
Q9UNX3	P05743
P61254	P53221
P61254	P05743
P62942	P20081
Q5TEA6	Q05787
Q9Y234	P47051
O00519	P22580
O95619	P53930
P52565	Q12434
O95336	P38858
P25208	P13434
P53680	Q00381
O43395	Q03338
P53701	P06182
Q9NWS8	Q05648
P47755	P28495
Q9HD42	P69771
Q969S3	Q06709
O60294	Q08282
Q9P2I0	Q12102
Q8TEA8	Q07648
P61513	P0CX26
P61513	P0CX25
P54725	P32628
Q7RTV0	Q06835
O60774	P38866
Q9BZP6	Q06350
Q9H444	P39929
Q9BY43	P39929
Q96SE0	Q03649
Q9NQ29	Q07508
Q8WTP8	Q08237
Q15382	P25378
Q02878	Q02326
Q96P70	P53067
Q9BZK7	P38262
P83731	P24000
P83731	P04449
P06730	P07260
Q9BXI2	Q12375
O94888	Q06682
Q8WTW4	P39923
Q6UWH6	P38869
Q8N766	P25574
P00367	P39708
P49448	P39708
Q9UBU8	Q12432
P61927	P49166
O00471	Q06245
Q9H4B0	P43122
P49755	P54837
Q9P0I2	P36039
P09001	P31334
Q9GZT8	P53081
Q96FM1	P25625
Q9Y4P1	P53867
P42766	P0CX85
P42766	P0CX84
P24863	P47821
P62888	P14120
O60906	P40015
Q9BY32	P47119
Q8N159	Q01217
P42677	P38711
Q9NVA4	P36142
Q96C23	P38893
Q8N6H7	P38682
Q9NQQ7	Q03697
P54198	P32480
P00846	P00854
O43818	Q06506
