human_uniprot	arabidopsis_uniprot
Q9BX63	A0A1P8AV25
P11413	Q9FJI5
P26440	Q9SWG0
Q9UPM8	Q8L7A9
Q9NUQ8	Q8H0V6
Q96EN8	Q9C5X8
Q16526	O48652
P42898	Q9SE60
O95340	Q9LIK9
P31153	Q9LUT2
Q9UKU0	Q8LKS5
Q13823	Q9C923
Q9Y2I7	Q0WUR5
Q96TA2	O80983
P23381	Q9SR15
Q93099	Q9ZRA2
Q8IY18	Q9LFS8
Q2TAY7	Q8W117
Q96F07	Q5S2C3
P46087	Q8VYM6
P15170	Q9LMS7
P11172	Q42586
P16930	Q8RW90
Q9UDR5	Q9SMZ4
Q96SZ6	Q8H0V1
P49674	P42158
P11387	Q9FJ79
Q9P1U1	Q9SAF1
P32189	Q9M8L4
Q14409	Q9M8L4
P49841	Q8VZD5
O00567	Q9SGT7
O75691	A0A1P8B4E4
O75153	F4J5S1
P55884	Q9C5Z1
Q9P253	F4IDS7
Q15021	A0A1I9LM04
O00487	Q9LT08
P52732	F4IIS5
Q99613	O49160
P23526	O23255
O00411	Q9LFV6
P54278	Q941I6
P51530	A0A1P8ASY1
Q9NRW7	O49048
Q08AM6	Q9ZU97
Q14738	O04376
Q5VV42	Q9C7H2
O15270	Q9LSZ9
O15381	Q9SS94
Q9NPF4	O49653
Q16851	P57751
Q13206	Q9FFT9
Q14152	Q9LD55
Q15155	Q9LZQ4
P04406	Q9SAJ6
Q86WJ1	F4IV45
A8MPP1	Q9CA92
Q9UM11	Q8L3Z8
Q9BW62	Q9SEX2
Q96G46	Q9T0J6
P46063	Q9FT73
Q9NTK5	Q9SA73
Q9UBR1	Q8H183
P55039	Q9LQK0
P53041	Q84XU2
Q06609	P94102
Q12986	Q9SY59
Q13393	Q9M9W8
Q2NL82	Q9ASU6
O96005	Q8VZJ5
Q12965	Q9LHE9
P00505	P46643
Q9NRZ9	Q9XFH4
P49411	Q9ZT91
Q9ULA0	Q9LST0
P06744	P34795
P12081	F4IYF8
P20711	Q8RY79
Q66LE6	Q39247
O60551	Q9LTR9
O15294	Q9M8Y0
P37287	Q94BX4
O94906	Q9ZT71
Q96JB2	F4HQ84
P21953	Q9SAV3
Q9NRK6	Q0WML0
Q6ZNB6	Q9FFK8
Q9H4M9	Q94CF0
P09110	Q8LF48
O00743	Q9LHE7
O75439	Q42290
Q9H269	Q93VQ0
O60337	F4JKK0
Q96CW5	Q9FG37
Q92905	Q9FVU9
Q08J23	Q8L601
Q8NHY2	P43254
Q7KZF4	Q9FLT0
O75191	Q949W8
P14868	Q8H104
P04035	P43256
P49366	Q9FI94
Q9BSJ2	Q9C5H9
Q6XQN6	Q84WV8
P31350	Q9LSD0
P52209	Q9FWA3
P60228	Q9C5Z3
P16435	Q9SB48
Q9UJ83	Q9LF46
P12268	Q9SA34
Q7Z3U7	F4K5S0
Q53GS9	Q8H148
Q13356	Q9FJX0
Q9H583	Q9C8Z4
Q15031	Q9XEA0
P49281	Q9FN18
Q01581	P54873
Q9UGN5	Q11207
P29375	A0A1P8AP94
O15457	F4JP48
Q8NHQ9	Q9FLB0
P49591	Q39230
Q96P70	F4IE40
Q96GQ7	Q9ZRZ8
Q9BSC4	Q9M1J9
P16278	Q93Z24
Q9Y262	F4JY76
P35250	Q9CAM7
Q15208	F4I2K0
Q15208	Q1PF34
Q9Y2H1	F4I2K0
Q9Y2H1	Q1PF34
Q14117	Q9FMP3
P62068	Q8LAM0
P62068	O24454
P36578	Q9SF40
O75351	Q9ZNT0
Q13608	Q8RY16
Q13573	O80653
Q92562	Q7XZU3
Q8WVM8	Q9SL48
Q96D46	Q9SI58
Q9Y5P6	O22287
Q8TD30	Q9LDV4
P54646	Q38997
P53597	P68209
Q13564	Q9ZV69
O95391	Q9SHY8
Q8N1B4	Q94KD3
Q5VIR6	Q0WQF4
Q8IYB7	Q0WPN0
Q9UI26	F4IYK6
P53582	Q9SLN5
Q9GZZ9	O23034
P04075	O65581
Q86U44	O82486
P09327	O81645
P0CG47	Q3E7T8
P0CG47	Q1EC66
P0CG47	P0CH33
Q9Y4C8	F4JT92
Q96CW1	O23140
Q8NBF2	Q8VZ10
Q8TED4	O23596
O95373	F4IRR2
Q5JRX3	Q9LJL3
Q9UKI8	Q39238
Q8IYB8	F4KFV7
P00156	P42792
P51798	P92943
Q9Y2Z2	Q9SHS2
P31948	Q5XEP2
P49917	Q9LL84
O14617	Q9C744
P13797	Q9FJ70
P13797	Q9SJ84
Q00526	P24100
O94979	Q8L611
Q9BV94	Q9FG93
Q12874	Q9FG01
O00267	Q9STN3
P04181	Q9FNK4
Q9NZB8	Q39055
Q9P2S5	Q5PP39
P46199	Q67ZW2
Q9P2R7	O82662
Q6IA86	F4I1S7
Q8N142	Q96529
P51003	Q9LMT2
O43933	Q9FNP1
P39748	O65251
O00231	Q9LP45
Q15008	Q93Y35
Q9UHB4	Q6NPS8
Q14376	Q9SN58
Q9Y282	F4I1K2
Q99873	Q9SU94
P42785	Q1JPM1
Q9NWU1	Q8L3X9
Q8NBZ7	Q9FIE8
Q9NWZ5	Q9LK34
Q9NWZ5	Q9FKS0
Q5T1V6	Q3EBD3
P14618	Q9FFP6
Q9H7Z6	Q9FLF7
O95470	Q9C509
P11177	Q38799
O95394	P57750
Q9NV06	Q93VK1
Q9Y4B6	Q9M086
O15371	P56820
P55263	Q9SF85
Q8IY81	F4JTD2
Q9UKM7	Q93Y37
Q9H6R4	Q0WVM5
Q9H9E3	Q8L838
Q9BXT6	Q8GYD9
P35251	Q9C587
Q96ST3	O48686
P04818	Q05763
P12694	Q84JL2
Q6PI48	F4JJT9
Q9BYV1	Q940M2
Q92611	Q9SXC9
Q6IN85	F4JC31
P40925	P93819
P61962	Q9LPV9
Q96D53	Q9SBB2
Q3LXA3	Q494P3
Q9UBB9	Q9SHG6
P30838	Q70DU8
O60547	Q9SNY3
P54578	Q949Y0
P49959	Q9XGM2
O43766	Q8LEE8
Q92521	Q94A15
P15104	Q9LVI8
Q13523	Q8RWN3
Q8IZX4	Q8LRK9
Q9NXH9	Q9LFU5
Q9BVK2	O80505
Q9UJM8	Q9LRR9
Q9BYT8	F4HTQ1
P50213	Q945K7
P04040	Q96528
Q9NR30	Q39189
Q96S55	O48696
Q9UBZ9	A3EWL3
O95478	Q9FNH2
Q9Y3Q0	Q7Y228
P10515	Q5M729
Q7Z3V4	Q9SCQ2
Q8WWY3	Q8RXN6
Q9UPY3	Q9SP32
Q9H6Q4	Q94CL6
Q9BRX2	Q9ZT87
O43592	Q7PC79
Q9UBT2	Q9SJT1
Q9UPE1	Q9FYC5
Q2TAA5	Q9XEE9
P48444	Q93Y22
O60476	Q9C512
Q08426	Q9ZPI6
Q9NS87	F4J1U4
Q13435	A0A1P8B4Y6
Q96I59	O48593
Q9BRS2	Q9SK34
Q12996	Q8GUP1
Q8WUQ7	F4I2J8
P62701	Q8VYK6
P62701	P49204
Q14565	Q39009
Q8WUA2	Q6Q151
P08240	Q9M0A0
P40938	Q8VXX4
Q96AX1	Q94KJ7
Q9H8H2	Q7XJN0
P20794	F4JSF8
Q8TB92	O81027
P22087	Q9FEF8
Q12834	Q9S7I8
Q12834	Q9SZA4
P39656	Q944K2
P62917	Q42064
P62917	P46286
P22570	Q8W3L1
Q9Y6V7	Q9SA27
Q96QE2	Q9C757
Q15386	Q8RWB8
Q6UWM7	Q9FIW4
P09467	Q9MA79
Q9UK59	Q94K01
Q8IXI2	F4J0W4
O15269	Q94IB8
O15042	Q9C5J3
Q15084	Q9MAU6
P24752	Q8S4Y1
Q14166	Q6IDC7
Q96DB2	Q944K3
Q9Y2R4	Q84TG1
O75131	Q5S1W2
P40926	Q9ZP06
P61421	Q9LJI5
Q6PIW4	F4JEX5
Q13042	B3DNN5
Q9H4L7	Q9ZUL5
Q9NY93	Q9SW44
O00232	Q8VWK0
Q14534	Q9SM02
Q9UJX6	Q8H1U5
B7ZAQ6	Q0WQG8
P0CG08	Q0WQG8
Q86WU2	Q94AX4
O95163	Q9FNA4
P56537	Q9M060
Q15392	Q39085
Q9UP83	Q9C9V9
P40937	Q9CAQ8
Q92600	Q8RWV5
O75844	Q8RX88
Q9C0E2	A0A1I9LPW2
Q99797	F4KDA5
P48728	O65396
P00558	P50318
P50613	Q9LMT0
P27694	Q9SKI4
P27694	F4JSG3
P30825	Q8W4K3
Q9HB40	Q67Y83
Q8TBC4	O65041
Q9NW82	Q9SK69
O43684	Q9C701
Q13098	P45432
Q9Y2V7	Q6NMI3
Q8N766	F4JXW9
Q96SB8	Q9FLR5
Q02127	P32746
P36551	Q9LR75
O14965	Q683C9
O14965	Q9M077
Q96GD4	Q683C9
Q96GD4	Q9M077
P12004	Q9ZW35
P53602	F4JCU3
Q15645	Q8H1F9
Q9BXW9	F4JIJ1
O00541	Q9LYK7
P62258	Q01525
P08559	P52901
Q9NW64	Q9LNV5
Q9NW64	Q9ZW36
O43242	Q9LQR8
Q9BZG8	Q8RWW3
O60884	Q94AW8
O60884	P42825
P31689	Q94AW8
P31689	P42825
O60870	Q9ZVU5
Q9BVS4	F4J3A9
Q4G176	Q8H151
P35249	Q93ZX1
Q9UBT6	Q6JDV7
P19440	Q8VYW6
Q709C8	F4JNE2
Q9NTJ5	Q9C5G5
P51665	O24412
Q86X55	Q84W92
Q9Y617	Q96255
Q9NZC9	A0A1P8AQE4
Q03701	F4IDC2
P53384	Q8H1Q2
P53677	F4I562
O95396	Q9ZNW0
O75436	Q9T091
Q9BV20	Q9ZUG4
O95155	Q9LF41
P00966	Q9SZX3
Q9UET6	Q8GUN8
Q00325	Q9FMU6
O96019	Q84M92
P23396	Q9SIP7
O94762	Q9FT72
P15880	Q8L8Y0
P15880	Q93VB8
Q13895	Q8RWS4
P04424	Q9LEU8
Q9BVL4	Q8H126
Q5FWF4	F4K856
P08243	Q9LV77
Q8WYA6	A3KPF3
Q9BT78	Q8L5U0
P28482	Q39023
Q96C45	F4JY37
O15121	Q9ZPH4
P00414	P92514
P00414	A0A2P2CLH8
O43681	Q949M9
Q9H553	F4IBV4
Q9UNX4	Q9LVF2
O95363	Q94K73
Q9BV10	A8MR93
Q96H96	Q93YP7
Q8NFI3	F4JZC2
Q9Y4L1	F4JMJ1
Q9BZK7	Q9FN19
Q9Y672	Q9FF17
O43280	Q9SU50
O43196	F4JEP5
Q5XPI4	Q9SIZ8
Q15459	Q8RXF1
Q86TW2	O04212
P49642	F4JZZ1
O75083	Q9LV35
P49760	P51567
Q9Y5P8	Q9SLI8
Q03154	F4JTK8
Q9P2D3	F4HRS2
P61247	Q42262
Q8N335	Q9SCX9
P16118	Q9MB58
O00139	Q940Y8
P04843	Q9SFX3
O94905	Q9ZQ87
Q3KQV9	O64765
P36957	Q8H107
Q8IYT4	B9DGC0
P63244	Q9LV28
Q9H7D7	Q9FNN2
Q92643	Q8GYI6
Q9NQH7	F4HZG9
Q01415	Q9SEE5
Q8WVY7	Q8W3M6
Q9UGJ1	Q9M350
Q9H089	Q9SHS8
Q13303	O23016
Q9UQ80	Q96327
Q8TBB5	Q945N1
Q9UNQ2	O22268
P00338	O23569
O60341	Q9CAE3
Q13601	Q9FT93
O75175	A0A1P8B9R0
Q562E7	F4JY12
Q8N3P4	F4JHM9
P61019	P92963
O75312	F4K9W6
Q15427	Q9ZU66
P49005	O48520
Q6NUK1	Q9FI43
Q6NUK1	Q9FLS8
Q9BV35	Q9FI43
Q9BV35	Q9FLS8
O76031	Q9FK07
P49643	Q84WJ2
Q96PZ0	Q5XVC2
Q2TAC6	Q9SCJ4
Q8NDA8	F4IP13
O95905	Q9LSM5
Q9HCN4	Q8W586
Q9H9Y4	Q56XY2
P62826	P41917
P54198	Q9LXN4
Q9NQX3	Q39054
Q8TEB1	Q8LPI5
Q9NUZ1	O65201
Q9UMS4	O22785
Q9UBF8	Q0WPX9
Q9NU19	O49336
Q5H8A4	F4IJJ8
Q9BT22	Q8L7M0
Q99447	Q9ZVI9
Q5JTH9	F4IHU8
Q5T9A4	Q0WVF7
P07237	Q9FF55
P09960	Q9FY49
P21912	Q8LBZ7
P21912	Q8LB02
Q9P275	Q9FPS4
P51687	Q9S850
Q8N6R0	Q8VYT6
Q14746	F4JRR1
P49356	Q38920
Q5JSL3	Q8SAB7
Q06203	Q9STG9
P46777	P49227
Q658Y4	F4HYA7
Q08752	Q9C566
Q08945	Q05153
Q16850	Q9SAA9
P10768	Q8LAS8
P13798	Q84LM4
Q68CQ4	Q8H1E7
Q9Y253	Q8H2D5
O60762	Q9LM93
Q15131	Q9FGW5
Q13367	Q9M2T1
Q92989	Q9SR06
Q9H2P9	O81769
O75694	F4HXV6
Q96J01	Q9FKT5
P23443	Q39030
P60900	O81146
Q92685	O82244
P37268	O65688
Q13888	Q9ZVN9
Q6UX04	Q6Q152
P84077	Q9LQC8
P84077	Q6ID97
P84077	Q9M1P5
P84077	P0DH91
P07339	O65390
O43837	Q8LFC0
O43837	P93032
Q8N4V2	Q940M4
Q14997	F4JC97
P62820	Q9SEH3
Q9UI10	Q9FFV8
P03915	A0A2P2CLC5
Q9HB07	F4K000
P28066	Q42134
Q96KG9	F4II29
P11182	Q9M7Z1
Q96MW5	Q84K25
Q9UGH3	Q9SHZ3
Q7KZN9	Q9FKT8
P48637	P46416
Q9NQR4	Q8RUF8
Q92903	O49639
Q7L9L4	Q9FHI1
Q9Y6A4	Q93ZI1
Q96JC1	Q8L5Y0
P14324	Q43315
Q8TEQ8	F4KGY0
Q7RTS9	Q8RWV1
P28715	Q9ATY5
P08574	Q9FKS5
P08574	Q9LK29
Q99436	Q7DLS1
Q9UEW8	Q84WU5
Q9Y5K5	O04482
Q92797	Q9M033
Q8TEX9	Q8W498
Q9GZT4	Q2PGG3
O15213	Q9LPP3
Q8WWQ0	F4K639
Q9H3S5	Q500W7
Q9P2K8	Q9LX30
O14818	P30186
P50750	Q9LFT8
Q7Z7A3	O64862
Q96GW9	Q9M2T9
Q00796	Q9FJ95
P19623	Q9ZUB3
Q99538	Q9LJX8
Q70EK9	Q9LEW0
Q8N9R8	F4J153
P09668	Q8RWQ9
P60174	Q9SKP6
Q9GZR7	Q93Y39
Q9H0R6	Q9LI77
P32929	P53780
Q96DI7	O22826
Q9NP81	Q8RWT8
P25787	O23708
P25787	Q8L4A7
Q9NVN8	Q9M8Z5
O15530	Q4V3C8
Q9H4L5	Q8L751
Q9H4L5	O80866
Q9BZF3	Q8L751
Q9BZF3	O80866
P20340	O80501
P46782	Q9ZUT9
Q6P1X5	Q8LPF0
P27797	Q38858
Q9Y3F4	Q9XI22
P25788	O23715
Q86UV5	Q9SCJ9
P62491	O49513
P62491	O04486
Q15907	O49513
Q15907	O04486
Q8N8Q9	Q9LNK7
Q8N8Q9	Q94AH3
Q99623	O49460
O00625	Q9ZW82
Q9C0C9	Q9ZVX1
Q13347	F4II66
Q6P1N9	F4J6X3
Q9H6U8	Q9FZ49
P05388	P57691
Q9BQ52	Q8VYS2
P62753	O48549
O94915	F4KB73
Q9UHB9	Q9FH46
P00390	P42770
Q8TB37	O49472
Q9Y2P8	Q9C578
Q969N2	Q949U5
Q8WVB6	F4I5S3
P27635	Q93W22
P27635	Q93VT9
Q6P3W7	Q9C9H8
O15305	O80840
P61313	Q8VYF1
Q96G21	Q9S826
Q86YT5	Q8LG88
Q8WWT9	Q8LG88
Q13144	O64760
Q8WVM7	O82265
Q8TC07	F4KG91
P20226	P28148
Q7Z569	O80996
Q9Y263	Q9LHN3
O94761	Q0WVW7
Q9UNQ0	Q93YS4
O75879	Q9FV81
Q5HYK3	Q9LVC8
P52824	Q9FFN7
P45844	Q9C6W5
P03886	P92558
P38117	Q9LSW8
P13804	Q9C6I6
Q96IJ6	Q9C9P3
Q01780	A9LLI7
Q9Y2L5	F4KCR0
Q9UIV1	Q9SAI2
P49619	Q39017
O43175	O49485
P35232	Q9LK25
Q8IWF6	Q9C9B4
P49336	Q84TI6
P20933	Q56W64
Q7Z4G4	Q9LIN4
P41214	Q0WUR1
Q13614	F4JWB3
Q92747	O80856
P26599	Q6ICX4
Q05932	F4K2A1
P07858	Q93VC9
P34949	Q9M884
Q9NX74	F4IY04
Q12788	Q9LFE2
Q9UIF7	F4JRF4
O00505	F4JL11
O00505	Q96321
O00629	F4JL11
O00629	Q96321
Q92539	Q9FMN2
Q92539	Q9SF47
Q14693	Q9FMN2
Q14693	Q9SF47
P62906	P59230
Q8N8A6	Q7FGZ2
Q9P260	Q8VYW7
Q9Y316	Q9SIR5
P07686	Q8L7S6
O76094	Q9FXD4
O95202	F4IBH5
P62424	P49692
P78406	Q38942
O43395	Q9C7E7
Q9BV79	Q8LCU7
Q13112	Q9SXY1
Q9BVG9	F4HXY7
Q9H9Y2	Q9M125
Q9H0C2	P40941
Q9H0C2	O49447
P12235	P40941
P12235	O49447
P05141	P40941
P05141	O49447
O60942	F4IYM6
P18124	Q9LHP1
P28074	Q9LIP2
P25789	O81148
O94822	Q9FGI1
O43709	Q9LVD0
Q9H3H5	Q9M2M5
Q6P1R4	Q9FH91
P10619	Q8L7B2
Q6UB28	Q9FV52
Q86YB8	Q9C7S7
Q6V1X1	Q9FNF6
Q86TI2	Q9FNF6
Q9Y2E8	Q8S396
Q9Y5J1	Q9FMU5
O76003	Q9ZPH2
P05198	Q9SIZ2
Q9NWL6	A8MRC1
Q9NRA2	Q8GX78
O75907	Q9SLD2
P51149	Q9LS94
Q9UPR5	O22252
Q7Z460	Q8RWY6
P56282	Q500V9
Q8N5D0	Q94BQ3
Q16775	O24496
Q9Y5S8	Q9SW17
Q9Y5S8	O81210
P04839	Q9SW17
P04839	O81210
O00764	Q8W1X2
O95822	Q7Y1Z8
Q9NVM4	Q944R7
A2RRP1	Q9FIN7
P78316	A0A178W3G2
Q15910	P93831
Q86TM6	Q9LW77
Q9Y247	Q8H110
Q9NUW8	Q8H1D9
Q969Q6	Q9FEE2
Q96JG6	Q8RXC2
Q9NXN4	Q94JV1
Q15257	Q9C5N3
Q5TAQ9	A0A178UWL0
Q96C23	Q9LVH6
Q9UKZ1	B4F7N8
Q9H501	Q9MAC6
O75251	Q42577
Q09161	Q9SIU2
