human_uniprot	rat_uniprot
Q9BXP8	D3ZQ32
Q9Y4F3	Q8VIG2
Q8WXG6	O08873
Q8IZH2	D4ABN8
P55268	P15800
Q8WWZ7	Q8CF82
Q92794	Q5TKR9
O60522	D3ZXQ5
Q9NQX4	F1M111
Q9Y5S2	Q7TT49
Q92576	D3ZKI5
Q5HYC2	F1LRC7
O43451	D3ZTX4
Q9P2P5	D4ADD3
Q8TCU6	D3ZS72
P35573	D4AEH9
P46940	G3V7Q7
Q9NQT8	A0A0G2K8Z9
Q8WYP5	A0A0G2K160
Q13224	Q00960
Q5UIP0	A0A0G2KB73
O95602	O54889
Q6P0Q8	A0A0G2K212
Q13017	A0A0G2K7N9
O75037	F1M5N7
Q13009	D3ZWV8
P13611	Q9ERB4
Q92817	G3V765
Q15746	D3ZFU9
O15027	D3ZN76
Q09428	Q09429
Q9Y4C0	Q07310
Q96JN8	D4A198
O60706	Q63563
Q9UGL1	A0A0G2K6G9
Q9ULB1	Q63372
P16144	Q64632
Q9H792	D4A563
Q9Y2H9	Q810W7
A9Z1Z3	D4ABP2
Q15262	A5I9F0
Q9BYB0	Q9JLU4
O14514	C0HL12
Q9NRY4	P81128
Q8TEU7	D3ZTL8
O60449	D3ZQK8
P28827	F1LPJ1
Q8TDM6	D4A3K3
Q14690	D3ZNI3
Q14689	F1LZ43
Q9Y4F4	D3ZW60
P0C091	D3ZYN7
Q9NRJ4	D3ZFM2
P14410	P23739
Q15811	Q9WVE9
P31327	P07756
Q8WYB5	M0R4T9
Q12879	Q00959
O94910	O88917
Q13219	A0A096MJG5
Q5SRE5	F1LRC6
Q9HBL0	F1LN42
Q6Q759	D3ZXP4
O60437	D4A5T8
P53804	D3ZSP7
Q5VZL5	D4A069
Q9NYU2	Q9JLA3
Q149N8	D4A9B2
Q9P2K8	D4A7V9
Q86X10	P86410
Q8IVF5	D3ZMS5
Q5T5P2	M0R5H1
Q9UBG0	Q4TU93
Q5H9F3	F1LYC7
Q8NFD5	F1LNP1
Q92729	F1MAG7
O60306	A3KNA0
O14646	D4AAG9
Q9NRD9	Q8CIY2
Q5VUA4	F1M0H0
P52179	A0A0G2K5P5
Q5TGY3	D4A5R3
Q9NZM3	M0R7A6
O60486	D4A7M0
Q86UR5	Q9JIR4
P59510	D3ZN23
Q9Y4G8	F1M386
Q10570	B5DEL2
Q6ZWJ8	D3ZGP6
Q9HAR2	Q9Z173
O95490	O88923
O75064	F1LTT7
Q8NI27	A0A0G2K8V3
Q9Y6R4	A0A0G2K3R1
Q14C86	D4A022
Q9P2P1	M0RAC3
Q8NI35	F1MAD2
P0C0L4	P08649
O60293	A0A0G2K5R4
P43146	Q63155
O60244	D4A020
Q6PRD1	D4AA82
P29475	P29476
Q15596	Q9WUI9
Q9Y4E6	Q9ERH3
Q8IZT6	D3ZZQ1
Q13635	Q6UY90
P01031	P08650
O14802	E9PTB6
O75581	A0A0G2K0H3
Q9C0G0	D3ZVE0
Q8WZ64	A0A0G2K7I9
Q4KWH8	A0A096MJW8
Q7Z7A1	D4A619
P06213	P15127
Q8IZD2	A0A0G2JWF0
Q04637	D3ZU13
Q08AD1	D4AEC2
Q12955	O70511
O75882	Q99J86
Q15643	D4ABD7
P08069	P24062
Q9ULK4	Q5EB59
Q76N89	F1M4Q8
P35556	F1M5Q4
Q9C0D5	Q6F6B3
P11388	P41516
Q7Z4S6	D3ZCG2
Q9Y4B6	A0A0G2KAM8
P51532	Q8K1P7
Q7Z460	A0A0G2JUI5
Q4ADV7	D4A224
O95153	Q9JIR0
A6NES4	F1M8N8
P33527	Q8CG09
P07814	A0A0G2JZI2
Q14999	D3ZEF4
Q8N4C6	D4A1J7
Q7Z4N2	Q2WEA5
Q9Y6Y1	F1M4M6
P58397	D3ZTJ3
Q05707	D3ZZT9
Q9Y4B4	D3ZV87
Q9BZ95	A0A0G2K001
P15822	F1M9H4
Q9NTG1	D3ZCW6
O15440	Q9QYM0
P51531	E9PTG1
Q9ULI0	A0A0G2JX30
P54296	G3V7K1
Q7Z6E9	G3V953
Q9ULI4	D3ZUT0
Q9Y2L5	F1M9W9
O95359	A0A0G2K598
P24821	A0A0G2K1L0
Q9Y3S1	D3ZMJ7
Q8NEV4	D3ZZK7
O43426	Q62910
O43432	A0A0G2JY73
Q15648	D3ZRN2
Q8N122	D3ZDU2
Q9P267	A0A1B0GWQ8
P78357	P97846
P01024	P01026
Q8WWN8	A0A0G2JUX2
Q8NDA8	A0A0G2JV05
Q6PGP7	D3ZL50
Q5VYJ5	A0A0G2K9H4
Q86VF7	D4A4K6
Q99570	P0C0R5
Q12767	F1LUG5
Q9C091	F1LTR0
Q86VV8	D3ZS92
Q14202	E9PTE5
Q8WUJ3	D3ZWI0
Q96K76	A0A0G2JUX4
Q5T5Y3	D3Z8E6
Q8N6G6	A0A1W2Q6M9
Q15303	Q62956
Q86VI3	D3ZCS4
Q96MT7	D3ZXR2
Q9P227	F1M2D4
Q9ULG1	D4A6Q6
P11047	F1MAA7
Q8TDY2	D3ZHK4
Q04656	P70705
P49454	E9PT83
P22897	D3ZD31
O94759	E9PTA2
Q9UIG0	G3V661
Q6UB98	D3ZCH1
Q29RF7	A4L9P7
Q9NRD8	Q9ES45
Q86US8	D4A589
Q92859	P97603
P10071	F1M9H1
Q8TF72	F1LP26
Q9P2K1	A0A0G2K9D9
Q9UPX8	Q9QX74
Q9C0A6	D4A2W7
Q9ULH0	Q9EQG6
Q14966	D4A0U3
Q9NRR4	E9PTR3
Q8N1W1	P0C6P5
P09884	O89042
P11137	P15146
Q9NZN5	A0A0G2K860
P19174	P10686
O75694	P37199
Q8IY17	M0R715
Q96F81	D3ZWU2
Q6ZU64	A0A0G2K240
Q96PN6	Q9Z286
Q9C093	Q9R095
Q6IQ26	G3V7Q0
Q9HCK4	A0A0G2JZA1
Q92626	A0A0G2JWB6
Q63HR2	M0R671
Q96RK0	D4A853
Q9BYP7	A0A0G2K2Y2
O94964	A0A0G2KA88
O94851	D4A1F2
Q8TER5	A0A0G2JZE7
Q5QGS0	D3ZGX1
Q99683	D3ZZH6
Q9NTI5	Q6TRW4
Q8TCU4	F1LVG9
O14522	F1LXJ9
Q5VWN6	D3ZVI2
O15550	A0A0G2K6D0
Q86UU0	D4A0D9
Q8IUA7	A0A0G2K3S4
O75197	F1MAD0
Q92628	D3ZYT3
Q9BTC0	D3ZWL9
Q5TCS8	F1M632
O75976	Q9JHW1
O60503	M0R5U4
O15014	D4ACN4
Q9UPX0	D3ZB51
O75129	A0A0G2JYU3
Q5TCQ9	Q9JK71
Q8IVE3	A0A0G2K246
Q7L576	D4A8H8
Q9Y6X6	Q9ERC1
P08581	P97523
Q07890	F1MAI3
Q6DT37	D3Z837
O75153	A0A0U1RRV5
A2VDJ0	D3ZRG1
Q8TEQ6	D3ZGD0
Q13233	Q62925
Q8WVM7	A0A0G2K9G6
O15056	O55207
O75533	G3V7T6
Q8NDM7	F1LN76
Q13029	Q63755
O75116	Q62868
Q9P2K9	D3ZW02
Q9ULD9	D3ZNA1
Q9UHN6	A0A0G2JZA7
Q9H2M9	Q5U1Z0
Q8NEZ3	F1LV01
Q6T4R5	F1LU76
Q5VTT5	D4A228
Q2KHR2	E9PT49
Q9P219	D4A9W1
P29144	Q64560
Q16787	D3ZN05
Q5XPI4	D3ZXK7
Q7Z3K3	A0A0G2JY58
P47989	P22985
Q9BZZ2	A0A0G2K320
Q9UHF7	D3ZEM6
Q9BY66	W8C8J2
O94823	D4A4W5
P16885	P24135
O15085	Q9ES67
Q5K651	A0A0G2JVW6
Q96KV7	D3ZMM2
Q8TEK3	D3ZCP0
Q96P48	F1LM60
Q9UM73	F1LRZ0
Q7Z2Z1	D3ZFP6
Q01118	F1LQQ7
Q96RY7	F1LY69
O15067	A0A0G2JTN4
Q9UPS6	F1LWJ1
O60336	D3ZSY0
A0JNW5	M0R8V0
O14841	P97608
Q00341	Q9Z1A6
Q9NRL2	F1M4U9
Q6P2E9	Q3ZAV8
Q9Y4B5	D4A5D4
Q07889	D4A3T0
Q15393	E9PT66
Q9UIF9	A0A0G2K178
O96028	D4A9J4
O15047	A0A0G2K6T6
Q5T3U5	D3ZX04
O15399	Q62645
O94913	D3ZY40
Q8IYD8	A0A0G2K7F0
Q9UBW7	D4A3R6
Q9HCM3	D3Z9D0
Q70EL1	Q6IE24
Q7Z478	D3ZHW0
Q8NDG6	Q3MHU3
Q92887	Q63120
P35916	Q91ZT1
Q8N3P4	D4A5F7
Q92824	P41413
O60346	Q9WTR8
Q9BXT8	D3ZLP2
Q9Y2I1	Q4G017
Q13464	Q63644
Q8N6C5	Q925N6
P21860	Q62799
Q9C0C7	F1LNQ2
Q6ZT07	A0A0G2K9K0
O95405	D3ZDC7
P23470	F1LP13
Q9Y4F5	D4A1G8
O75096	Q9QYP1
Q76NI1	D4A8Q2
P40145	P40146
Q9UI33	O88457
O43520	D4AA47
Q9UQ26	Q9JIS1
Q9UKE5	A0A0G2K490
Q8N3U4	A0A0G2K4D9
Q9UK61	M0RAP6
Q6BDS2	D3ZMR2
Q96ST3	A0A0G2K3H5
Q01814	P11506
Q15788	D4A3Q3
O15438	O88563
P11274	F1LXF1
P14616	Q64716
O95613	D3ZMY8
Q9UKL3	D4A7V6
P30876	G3V8Y5
Q9BXT5	D3ZYB8
Q68CZ2	F1LN91
Q6PFW1	P0C644
P35968	O08775
Q9UKP4	Q1EHB3
Q2KHR3	D3ZMD6
P26640	Q04462
Q9C0D2	A4L9P8
P41252	F1LS86
O94911	D3ZAE9
P20020	P11505
Q8IWV7	D3ZQC6
P52701	D4A0U9
P12821	P47820
Q8WZ74	Q2IBD4
Q5VT52	A0A0G2JTD1
P00451	D3ZEB1
O75122	Q99JD4
Q9NYV4	Q3MJK5
Q8ND23	Q5XHY1
P10070	F1M2B7
Q9P241	D3ZN41
Q8TEW0	Q9Z340
Q86VP6	P97536
O60312	A0A0G2JWQ8
Q96QZ7	Q4L1J4
Q8WWI1	A0A0G2K8R3
Q8N4C8	F1LP90
O00562	Q5U2N3
Q9UPT6	E9PSK7
Q9BZH6	D3Z9L5
Q5JUK3	Q9Z258
Q5VZK9	A0A0G2JXG7
Q92752	Q05546
Q15477	A0A0G2QC02
Q9ULU8	Q62717
P35670	Q64535
Q96JH7	Q8CF97
Q2M3C7	P0C6C0
Q96SN8	Q9JLH5
Q15047	A0A0G2K5A7
Q9BXF3	F1LYI0
Q02224	D3ZV60
Q9BZ72	F1LXD6
Q13018	F1M495
Q96PV0	Q9QUH6
Q6XZF7	M0R4F8
O95255	O88269
Q9Y2F5	D3ZK16
Q5VU97	D4ADK4
P04626	P06494
P98198	D4A509
Q9UKP5	D4A065
Q96RT7	D4A709
P55201	D4A411
Q53EP0	D4A0W7
Q99707	Q9Z2Q4
Q96QE3	D4A058
O15439	F1M3J4
Q92797	A0A0G2K1E5
P26358	Q9Z330
P29474	Q62600
O94856	P97685
Q9HBG6	A0A0G2JZL6
Q9HCE3	A0A0G2JZQ5
Q504Q3	Q6IE70
P56715	D4ABP8
Q9UM54	D4A5I9
Q16720	Q64568
Q7L2E3	Q5BJS0
P48553	F1MAQ4
Q13576	F1LW74
Q14766	Q00918
Q5VV63	F1M3T8
P46531	Q07008
O14924	O08774
Q3B7T1	A0A0G2K4K6
Q8N7X0	F1LYE2
P13569	P34158
Q9H6S0	D3ZIV8
Q96QU1	F1LXN4
Q06278	Q9Z0U5
Q15155	D3ZSA9
P11498	P52873
O15118	G3V7K5
Q9P2D0	D3ZH46
Q86UW7	F1LWT1
O60271	A0A0G2K6E8
Q16827	Q62797
Q9NW08	D3ZV30
Q92823	P97686
P32004	Q05695
P46020	Q64649
P41594	P31424
Q12770	A2RRU4
Q15021	A0A0G2JWH3
O14917	D3ZPN0
Q04721	Q9QW30
P21439	Q08201
P17948	P53767
Q96J65	Q6Y306
Q6P1X5	F1LNY6
P39880	P53565
Q14CM0	D4A3K7
Q14004	F1M1X9
Q66K14	F1LRL4
Q9Y2K7	D3ZTJ7
Q9NS40	O54852
O60303	F1LX85
O60343	D3ZGN0
Q9NYA4	D3ZW40
Q14562	A0A0G2K283
Q96AY4	D3ZXP1
Q9NY47	Q8CFG6
Q9Y2K2	M0RD40
Q2M389	D4A7I6
Q9HD20	G3V7I3
Q8N139	M0R890
Q9UHW9	G3V6N7
Q9H0H0	A0A096MJ28
Q16531	Q9ESW0
Q8IZU8	D3ZYE3
Q5T5C0	Q9WU70
Q86Z02	A4L9P5
Q9H2X9	Q63633
Q8WYK1	Q0V8T6
P35580	Q9JLT0
O15040	D4A6U4
P00533	G3V6K6
O95622	Q04400
O14513	F1LU96
P53355	A0A0G2K5V8
O75054	A0A0G2K7L2
Q6UVM3	Q6UVM4
Q9Y4C1	Q63679
Q14896	P56741
Q92833	M0RBV7
Q4ZHG4	Q2Q0I9
Q5JTH9	M0R3M8
Q93009	Q4VSI4
Q5VYS8	D3ZKR9
Q99569	F1M2K6
A3KN83	Q5BJL5
Q5TAX3	A0A0G2JZ04
O60307	A0A0G2JVL3
Q6PIJ6	D3ZIK8
Q86TC9	A0A0G2K046
Q92896	Q62638
Q9HBD1	D3ZBM2
Q9NZM4	D3ZQW8
Q76I76	F1M4Q5
Q460N5	F1LZ05
Q9UPW5	G3V8G1
Q15147	Q9QW07
Q9P2R6	Q62901
Q13255	P23385
Q9ULM0	D4AA54
O15357	Q9WVR3
P23458	G3V9W2
Q12809	O08962
O00512	D4A7D6
Q8WY21	F1LUZ4
Q96AE7	B5DEL3
Q9C0E2	D3ZQI6
Q86XP1	D3ZSZ6
O95155	F1M8V2
O60674	Q62689
Q12769	D3ZBL6
Q9P2L0	A6N6J5
Q8IVG5	A0A0G2JVT8
Q9H2Y7	A0A0G2JT65
Q9Y2A7	P55161
Q12768	F1M1B3
O14827	Q99JE4
Q8TAB3	A0A0G2K8I5
Q6IQ55	A0A0G2JYZ1
Q9H324	A0A0G2K229
Q9NRP7	D3ZA65
Q8NG31	D3ZNX2
Q2V2M9	F1LQJ2
O75339	D3ZGB8
Q9BWH6	Q3T1I9
Q9NZB2	D4AB03
Q8TDY8	F7EL93
O95382	D3ZFL3
Q96PE1	D4ADC7
Q9P2J5	Q5PPJ6
Q16760	F1M5T2
Q9NSC2	D3ZIF4
Q9Y6X0	F1M4Q7
O43306	Q03343
Q8N2Y8	M0RCV5
O94966	Q6J1Y9
Q6PL18	D3ZJD2
P48751	P23348
O00410	D4A781
Q10571	D4AAP6
O95342	O70127
Q9H2X6	D3ZN85
Q96QU8	G3V858
O94916	D3ZGB1
Q96MS0	D3ZKA2
Q9NQ66	P10687
O95163	Q8VHU4
Q3T906	D3ZKE0
Q03468	A0A0G2JTU1
P42336	A0A0G2K344
Q9P1Y5	D3ZXQ2
O43379	F1LRR4
Q9P260	D3ZJ01
O43295	F1M5M9
Q7Z392	A0A0G2K1K5
P55011	E9PTX9
Q6ZN30	D3ZZ22
Q96NW7	P70587
Q08211	D4A9D6
Q2M1Z3	D4A987
Q86UW6	D3ZLS6
Q15678	A0A0G2K2N0
Q6U841	Q80ZA5
O75145	Q91Z79
Q86UL8	O88382
Q14957	Q00961
P53396	P16638
Q7Z5K2	D4ADT3
A2PYH4	F1LWY1
Q6P158	A0A0G2JZH9
Q9HAV4	D3ZQE8
Q8NB49	D3ZFC5
Q5T890	D3ZPU4
Q9Y2H6	D3ZEA0
O75161	G3V9Y6
Q49AJ0	F1LZ91
Q9ULL8	F1LVL5
Q14683	Q9Z1M9
O14529	F1M048
Q92766	A0A0G2K4K0
O94983	D3ZLG1
O95835	F1M2K4
Q9Y2G9	A0A0G2JZZ8
O14976	P97874
P54098	Q9QYV8
Q9ULL1	D4AE81
Q9Y2K9	D3ZU84
Q9Y6N6	A0A0G2K023
O43861	D4ABB8
Q149M9	A0A0G2JWP6
Q8IWY9	D4A1U4
Q9HCH0	D3Z9A7
Q9BY12	F1LRM0
Q13591	D3ZTD8
Q6P4R8	A0A0G2K0N5
Q92900	A0A0U1RS25
Q8TE57	D3ZLL7
P42684	F1M0N1
Q7Z3T8	D4ADF6
O60266	P21932
P35568	P35570
Q12965	Q63356
Q7Z6B7	F1M287
Q9BXW9	Q6IV68
